question,option_a,option_b,option_c,option_d,correct_answer,difficulty
What does PDCA stand for? (Q1),Plan-Do-Check-Act,Prepare-Develop-Control-Adjust,Plan-Develop-Change-Act,Process-Do-Control-Apply,A,easy
Which phase of PDCA identifies root causes? (Q2),Plan,Do,Check,Act,A,easy
"In PDCA, 'Do' primarily means: (Q3)",Implement the solution on small scale,Audit financials,Hire new staff,Create new policy only,A,easy
Which phase evaluates results against targets? (Q4),Plan,Do,Check,Act,C,easy
Standardizing successful improvement happens in which phase? (Q5),Plan,Do,Check,Act,D,easy
What does PDCA stand for? (Q6),Plan-Do-Check-Act,Prepare-Develop-Control-Adjust,Plan-Develop-Change-Act,Process-Do-Control-Apply,A,easy
Which phase of PDCA identifies root causes? (Q7),Plan,Do,Check,Act,A,easy
"In PDCA, 'Do' primarily means: (Q8)",Implement the solution on small scale,Audit financials,Hire new staff,Create new policy only,A,easy
Which phase evaluates results against targets? (Q9),Plan,Do,Check,Act,C,easy
Standardizing successful improvement happens in which phase? (Q10),Plan,Do,Check,Act,D,easy
What does PDCA stand for? (Q11),Plan-Do-Check-Act,Prepare-Develop-Control-Adjust,Plan-Develop-Change-Act,Process-Do-Control-Apply,A,easy
Which phase of PDCA identifies root causes? (Q12),Plan,Do,Check,Act,A,easy
"In PDCA, 'Do' primarily means: (Q13)",Implement the solution on small scale,Audit financials,Hire new staff,Create new policy only,A,easy
Which phase evaluates results against targets? (Q14),Plan,Do,Check,Act,C,easy
Standardizing successful improvement happens in which phase? (Q15),Plan,Do,Check,Act,D,easy
What does PDCA stand for? (Q16),Plan-Do-Check-Act,Prepare-Develop-Control-Adjust,Plan-Develop-Change-Act,Process-Do-Control-Apply,A,easy
Which phase of PDCA identifies root causes? (Q17),Plan,Do,Check,Act,A,easy
"In PDCA, 'Do' primarily means: (Q18)",Implement the solution on small scale,Audit financials,Hire new staff,Create new policy only,A,easy
Which phase evaluates results against targets? (Q19),Plan,Do,Check,Act,C,easy
Standardizing successful improvement happens in which phase? (Q20),Plan,Do,Check,Act,D,easy
What does PDCA stand for? (Q21),Plan-Do-Check-Act,Prepare-Develop-Control-Adjust,Plan-Develop-Change-Act,Process-Do-Control-Apply,A,easy
Which phase of PDCA identifies root causes? (Q22),Plan,Do,Check,Act,A,easy
"In PDCA, 'Do' primarily means: (Q23)",Implement the solution on small scale,Audit financials,Hire new staff,Create new policy only,A,easy
Which phase evaluates results against targets? (Q24),Plan,Do,Check,Act,C,easy
Standardizing successful improvement happens in which phase? (Q25),Plan,Do,Check,Act,D,easy
What does PDCA stand for? (Q26),Plan-Do-Check-Act,Prepare-Develop-Control-Adjust,Plan-Develop-Change-Act,Process-Do-Control-Apply,A,easy
Which phase of PDCA identifies root causes? (Q27),Plan,Do,Check,Act,A,easy
"In PDCA, 'Do' primarily means: (Q28)",Implement the solution on small scale,Audit financials,Hire new staff,Create new policy only,A,easy
Which phase evaluates results against targets? (Q29),Plan,Do,Check,Act,C,easy
Standardizing successful improvement happens in which phase? (Q30),Plan,Do,Check,Act,D,easy
