question,option_a,option_b,option_c,option_d,correct_answer,difficulty
"What does the '5S' methodology stand for?","Sort, Set in Order, Shine, Standardize, Sustain","Stop, Start, Simplify, Standardize, Sustain","Sort, Simplify, Sweep, Standardize, Self-discipline","Select, Straighten, Shine, Schedule, Sustain","A","easy"
"Which of the following is the primary goal of Lean manufacturing?","Increase inventory levels","Eliminate waste and maximize value","Reduce workforce","Increase production speed at any cost","B","easy"
"What is 'Muda' in Lean terminology?","A type of Kanban board","A quality inspection tool","Waste or non-value-adding activity","A production scheduling method","C","easy"
"What does 'Kaizen' mean?","Big radical change","Continuous improvement","Zero defects","Just-in-time delivery","B","easy"
"Which Lean tool uses visual signals to control production flow?","Poka-Yoke","Andon","Kanban","Gemba","C","easy"
"What is the purpose of a Value Stream Map?","To track employee performance","To visualize the flow of materials and information","To create a factory floor layout","To calculate production costs","B","easy"
"What does 'Gemba' refer to in Lean?","The actual place where work happens","A type of waste","A quality standard","A production target","A","easy"
"Which of the following is NOT one of the 8 wastes in Lean?","Overproduction","Waiting","Innovation","Defects","C","easy"
"What is the purpose of 'Standardized Work' in Lean?","To eliminate all variation in processes","To establish the best sequence and timing for tasks","To replace workers with automation","To create more paperwork","B","easy"
"What does PDCA stand for?","Plan, Do, Check, Act","Prepare, Deliver, Control, Adjust","Process, Design, Create, Analyze","Plan, Design, Control, Approve","A","easy"
"In Value Stream Mapping, what does the 'current state' map show?","The ideal future process","How the process works today","Customer demand forecast","Supplier delivery schedule","B","easy"
"What is 'Takt Time'?","Total available production time divided by customer demand","Time taken for machine setup","Break time for workers","Time between quality inspections","A","easy"
"Which Lean principle focuses on producing only what the customer needs?","Push system","Batch processing","Pull system","Mass production","C","medium"
"What is the main difference between 'Muda' and 'Mura'?","Muda is waste, Mura is unevenness","Muda is Japanese, Mura is Chinese","Muda is quality, Mura is quantity","They mean the same thing","A","medium"
"In a Kanban system, what triggers the production of new items?","A production schedule from management","Consumption of items by the downstream process","A monthly forecast","Random selection by workers","B","medium"
"What is 'Heijunka'?","Error-proofing technique","Production leveling to reduce variation","A type of visual management","A waste elimination method","B","medium"
"Which tool helps identify the root cause by asking 'Why?' repeatedly?","Pareto Chart","Fishbone Diagram","5 Whys","Control Chart","C","medium"
"What is the relationship between Lead Time and Cycle Time?","They are always equal","Lead Time is always shorter than Cycle Time","Lead Time includes Cycle Time plus waiting and other times","Cycle Time includes Lead Time","C","medium"
"What does 'Jidoka' mean in Lean manufacturing?","Just-in-time delivery","Automation with a human touch","Zero inventory","Continuous flow","B","medium"
"Which of the following best describes 'Single Minute Exchange of Die' (SMED)?","A technique to reduce machine setup time","A method for single-piece flow","A quality inspection process","A way to reduce defects to single digits","A","medium"
"In a Fishbone diagram, which category does 'Machine' fall under?","Method","Material","Equipment/Machine","Measurement","C","medium"
"What is 'Poka-Yoke'?","A visual management board","An error-proofing mechanism","A production scheduling tool","A waste identification method","B","medium"
"What is the primary purpose of an 'Andon' system?","Track inventory levels","Signal problems and stop production when issues occur","Schedule maintenance activities","Measure worker productivity","B","medium"
"How does 'One-Piece Flow' differ from batch processing?","It produces more waste","Items move through processes one at a time instead of in batches","It requires more inventory","It is slower than batch processing","B","medium"
"What is the Theory of Constraints (TOC) primarily focused on?","Eliminating all waste simultaneously","Identifying and managing the bottleneck in a system","Reducing the number of employees","Increasing batch sizes","B","hard"
"In a complex value stream with multiple product families, how should you prioritize VSM efforts?","Map all products simultaneously","Focus on the product family with highest volume and revenue impact","Start with the simplest product","Map randomly","B","hard"
"What is the mathematical relationship in Little's Law?","WIP = Throughput x Lead Time","Lead Time = WIP x Throughput","Throughput = WIP x Lead Time","WIP = Lead Time / Throughput","A","hard"
"When implementing Heijunka in a mixed-model production environment, what is the primary challenge?","Finding enough workers","Balancing changeover frequency with lot size reduction","Purchasing new equipment","Training management","B","hard"
"How does the concept of 'True North' apply in a Lean transformation?","It refers to magnetic compass orientation of the factory","It represents the ideal state of zero waste, perfect quality, and immediate delivery","It means always following the CEO's direction","It refers to benchmarking against northern hemisphere companies","B","hard"
"In an A3 problem-solving report, what distinguishes a good 'target condition' from the 'current condition'?","Target is always double the current","Target is measurable, time-bound, and represents a specific gap closure","Target is set by management only","Target is the same as the ideal state","B","hard"
"What is the key insight behind the 'Water and Rocks' analogy in Lean?","Water represents profit and rocks represent costs","Lowering inventory (water) exposes problems (rocks) that must be solved","Water represents demand and rocks represent supply","It has no specific meaning in Lean","B","hard"
"How do you calculate Overall Equipment Effectiveness (OEE)?","Availability x Performance x Quality","Speed x Volume x Time","Uptime / Total Time","Output / Input x 100","A","hard"
"What differentiates a 'Kaikaku' event from 'Kaizen'?","Kaikaku is slower and more gradual","Kaikaku involves radical, breakthrough change vs. incremental improvement","They are the same concept","Kaikaku only applies to office processes","B","hard"
"In applying SMED methodology, what is the critical first step?","Buy faster machines","Separate internal setup activities from external setup activities","Hire more setup personnel","Eliminate all setups completely","B","hard"
